------------------------------------------------------------------------------------
导出信息：
姓名：陈福旭
支付宝账户：15388976365
起始时间：[2026-04-07 00:00:00]    终止时间：[2026-05-07 23:59:59]
导出交易类型：[全部]
导出时间：[2026-05-07 09:39:11]
共74笔记录
收入：2笔 520.00元
支出：35笔 7145.78元
不计收支：37笔 1619.15元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝支付科技有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2026-05-07 05:46:36,投资理财,万家日日薪货币A类,/,余额宝-2026.05.06-收益发放,不计收支,0.97,余额宝,交易成功,20260507365365337981	,	,,
2026-05-06 13:07:12,文化休闲,网易云音乐,led***@service.netease.com,SVIP升级122天,支出,10.98,广发银行信用卡(5034),交易成功,2026050622001445981415979403	,2026050626913PS85721971808	,,
2026-05-06 10:50:37,交通出行,阿斯**服,asl***@service.taobao.com,机票订单付款{9640359113622|1_2_2026000575176093093},支出,1009.88,广发银行信用卡(5034)&红包,交易成功,2026050623001145981415269911	,T1400P3299640278466004267	,,
2026-05-06 03:53:58,投资理财,万家日日薪货币A类,/,余额宝-2026.05.05-收益发放,不计收支,0.60,余额宝,交易成功,20260506359528693981	,	,,
2026-05-06 01:42:53,文化休闲,哔哩哔哩弹幕网,kyz***@bilibili.com,高档充电连续包月八,支出,10.00,广发银行信用卡(5034),交易成功,2026050623001445981408267938	,5091667741148124409	,,
2026-05-06 01:01:21,投资理财,余额宝,acc***@wjasset.com,余额宝-自动转入,不计收支,240.00,账户余额,交易成功,20260506019130101000980023603608	,20260506009130501000980044547456	,,
2026-05-05 23:22:57,转账红包,浙江飞猪网络技术有限公司,/,飞猪钱包提现,收入,240.00,,交易成功,20260505020070011580980028381746	,FP301_482042649549622	,,
2026-05-05 04:14:17,投资理财,万家日日薪货币A类,/,余额宝-2026.05.04-收益发放,不计收支,0.60,余额宝,交易成功,20260505354111292981	,	,,
2026-05-04 04:54:17,投资理财,万家日日薪货币A类,/,余额宝-2026.05.03-收益发放,不计收支,0.60,余额宝,交易成功,20260504349373169981	,	,,
2026-05-03 04:37:48,投资理财,万家日日薪货币A类,/,余额宝-2026.05.02-收益发放,不计收支,0.60,余额宝,交易成功,20260503343235185981	,	,,
